TSNE1,TSNE2,sustainability_score,high_sust,cluster,proba_esg
77.91902,17.930895,21.24,0,0,0.21944663640658413
-63.411457,-33.91894,25.27,1,1,0.7915483366707394
40.04575,21.978064,22.33,0,0,0.30186738511504907
39.99261,22.016167,22.33,0,0,0.30189293632729486
76.21756,-15.143612,20.38,0,2,0.3198565289641948
43.722057,34.730267,21.33,0,0,0.2542804689620051
95.16291,-8.765367,20.36,0,0,0.25070274008046584
-33.976463,69.63196,23.52,0,1,0.35691367046571604
8.634266,-96.27885,28.79,1,2,0.7907085654476276
39.338642,64.583115,21.35,0,0,0.1879222459577368
88.846,7.830739,20.53,0,0,0.2209560456781158
-19.775959,-95.41656,24.66,1,2,0.8434965509095558
-70.00347,12.883926,22.22,0,1,0.6732433093814525
49.865852,44.840782,21.31,0,0,0.21314960382762405
-70.02124,12.886193,22.22,0,1,0.6732865315943517
49.85883,44.84011,21.31,0,0,0.21316654229160725
-85.99646,-36.381775,23.07,0,1,0.8407188775316157
27.743382,26.529032,19.42,0,0,0.3215247058071828
27.873959,26.432667,19.42,0,0,0.3214685995411589
-49.711514,-70.87776,28.35,1,1,0.8464492660408852
9.261177,10.333494,23.0,0,0,0.4338458326331588
9.256089,10.345842,23.0,0,0,0.4338168696112563
85.611755,-45.056385,21.32,0,2,0.39393338630235863
71.06138,51.95634,22.88,0,0,0.1562217289643016
16.116297,43.46572,20.01,0,0,0.2997946857680372
3.5164604,-19.910036,26.44,1,2,0.5642740553459888
39.35708,64.580246,21.35,0,0,0.1878923102146808
88.97864,7.5335975,20.53,0,0,0.22142207006347794
94.55476,-52.657196,24.11,1,2,0.39328568203435543
33.778477,6.485682,26.34,1,0,0.37131877360748605
33.782177,6.4933167,26.34,1,0,0.3712810479938172
37.23837,1.5720117,24.84,1,0,0.37795476425368363
76.785416,-15.436341,20.38,0,2,0.31920432973178814
-42.068325,-71.07558,24.18,1,2,0.8335405814866336
94.93447,-52.292202,24.11,1,2,0.39081784804931796
36.99626,1.7087909,24.84,1,0,0.378213561198375
-42.041386,-70.96822,24.18,1,2,0.8332702108947121
76.21989,-15.149527,20.38,0,2,0.3198691268431729
48.08308,3.0492866,23.8,1,0,0.3405715956834056
-49.72573,-70.892876,28.35,1,1,0.8465024475951706
48.085003,2.9976559,23.8,1,0,0.34073865384350116
90.854774,6.217431,20.17,0,0,0.2206104622399799
100.45171,-0.75213563,24.01,1,0,0.21709145181205233
-12.31294,88.86757,21.85,0,0,0.23941978856366217
-12.356086,88.87981,21.85,0,0,0.23948841972248078
-12.337956,88.88908,21.85,0,0,0.23942050645021676
-51.65442,-31.038319,26.67,1,1,0.7575069624610443
44.290985,16.10452,19.1,0,0,0.308747528821365
44.31136,16.108088,19.1,0,0,0.3086798580048705
55.29428,-6.0753994,24.17,1,0,0.3501602441658524
-20.986364,-95.04543,24.66,1,2,0.8448328348215259
105.436356,-10.582411,21.8,0,0,0.23130991251009334
4.5870514,47.26829,22.61,0,0,0.31962333601964604
5.1907983,47.068382,22.61,0,0,0.31857031082040793
9.028142,22.16466,21.92,0,0,0.39190744931834126
105.43227,-10.561165,21.8,0,0,0.2312630949878166
37.89679,0.13102968,24.18,1,0,0.3809976129832264
75.0063,-29.141079,20.69,0,2,0.3704373489085368
75.02144,-29.589241,20.69,0,2,0.37194893940009577
75.00768,-30.061455,20.69,0,2,0.37363443894513715
100.45865,-0.75745887,24.01,1,0,0.21708964916929757
74.02318,-27.863567,20.28,0,2,0.36897365946690563
-25.197294,46.23662,23.54,1,1,0.41235818404857655
88.21063,-45.85084,21.06,0,2,0.38872993695847596
105.44275,-10.621931,21.8,0,0,0.23139981287386818
32.701084,-23.722548,26.75,1,2,0.48429012982081543
5.395245,46.98287,22.61,0,0,0.3182717020558652
-46.009823,22.33689,22.13,0,1,0.5674037668314243
37.997936,0.023201158,24.18,1,0,0.381067139570568
39.839123,22.036655,22.33,0,0,0.3022479049925612
-12.325254,88.924545,21.85,0,0,0.239294399188582
-21.824017,-10.658695,23.5,0,1,0.6104324764277864
-18.622585,-95.31499,24.66,1,2,0.8413118186306034
-19.571144,-95.98186,24.66,1,2,0.8442557466715932
-42.089607,-89.52904,28.27,1,2,0.8682923419864822
-42.683395,-89.39434,28.27,1,2,0.8689415081207237
-43.00104,-90.46983,28.27,1,2,0.8712167353749557
-43.003075,-90.4632,28.27,1,2,0.8712086162166605
-31.90528,70.73073,25.74,1,1,0.34706167553490525
-83.8716,-33.12291,22.17,0,1,0.8302691882073093
-83.86632,-33.139984,22.17,0,1,0.8302953700646741
17.467165,-66.92075,27.99,1,2,0.6851770025043209
47.194523,-26.0684,27.05,1,2,0.44627627055681673
-76.18977,62.617878,28.41,1,1,0.5156456479388111
2.7637892,-33.27383,25.46,1,2,0.6147304368536797
2.757225,-33.30248,25.46,1,2,0.6148515889444345
-63.67931,-32.596252,25.27,1,1,0.7888590963532114
-22.841984,-11.834998,23.5,0,1,0.6177085082600187
-86.07259,-36.437202,23.07,0,1,0.8409613314421502
-76.22701,62.636086,28.41,1,1,0.5156984545356627
-76.38018,62.70795,28.41,1,1,0.5159268940910644
40.006626,21.994928,22.33,0,0,0.30192130500282893
-56.47805,64.12232,29.34,1,1,0.4464062047747484
-52.277893,-18.155514,27.09,1,1,0.7221873360373036
-56.278614,63.864883,29.34,1,1,0.4467148042691925
92.919334,-48.256817,24.64,1,2,0.382761203701235
92.97282,-48.202007,24.64,1,2,0.3824047620398233
-12.326901,88.908356,21.85,0,0,0.2393421627839586
39.971817,20.354609,22.33,0,0,0.30718918899045283
39.97637,20.372208,22.33,0,0,0.3071208695531542
39.966743,20.33608,22.33,0,0,0.3072618912695186
39.967804,20.353329,22.33,0,0,0.3072043107386899
16.377157,43.597435,20.01,0,0,0.29867472269112866
-12.499129,87.82255,21.85,0,0,0.2427075533881995
-12.506083,87.80419,21.85,0,0,0.2427743499515414
47.05108,-26.2963,27.05,1,2,0.44757438611851186
-19.521372,-96.0597,24.66,1,2,0.8443233230764579
-56.647236,63.818848,29.34,1,1,0.448065099528636
-21.750729,-10.534511,23.5,0,1,0.6097667812865971
-12.512573,87.81,21.85,0,0,0.24277391992346528
-18.450468,41.960052,23.79,1,1,0.4066155228800555
-20.89588,-95.07686,24.66,1,2,0.8447404524936585
39.770252,64.543625,21.35,0,0,0.18715971682264224
90.26861,8.007386,20.53,0,0,0.21735172986462176
91.88564,6.504957,20.17,0,0,0.217592745598733
54.26881,-60.884155,23.07,0,2,0.5525430090746405
9.262307,10.331543,23.0,0,0,0.4338493713550376
-49.72448,-70.892784,28.35,1,1,0.8465001639255911
36.790707,-22.86121,25.62,1,2,0.46787594328239307
37.022346,-22.697273,25.62,1,2,0.46652127826967627
36.775608,-22.862427,25.62,1,2,0.46792916074934787
37.008533,-22.700418,25.62,1,2,0.4665774763290833
84.46863,-2.467321,18.4,0,0,0.25921222831646745
-68.71092,-21.256678,29.6,1,1,0.7710822484349452
-39.87984,-4.664779,24.38,1,1,0.6442465048987028
-6.7001195,-26.852144,24.58,1,2,0.6211091293646456
97.3793,-5.0014935,21.95,0,0,0.2351200260186487
-46.714664,-35.586407,23.64,1,1,0.7581873574116778
-19.585733,-95.97342,24.66,1,2,0.8442640838160057
2.6520543,-19.76354,26.44,1,2,0.5664902818543566
-64.1027,-32.71819,25.27,1,1,0.7900726397386623
3.2577176,-33.301174,25.46,1,2,0.6133101532509759
-51.987854,-18.109016,27.09,1,1,0.7212935736594576
-22.512953,-11.924019,23.5,0,1,0.6170144911315304
17.069002,-66.93601,27.99,1,2,0.6863376978305544
-19.483599,-94.991005,24.66,1,2,0.8421554535473431
17.37609,-66.40926,27.99,1,2,0.6837872526783473
-85.73123,-36.585854,23.07,0,1,0.8406655415090218
71.396965,51.38338,22.88,0,0,0.1567737867867007
43.90923,34.542416,21.33,0,0,0.25435092778168433
95.23546,-8.902026,20.36,0,0,0.250908416485243
-25.743683,-11.215583,26.07,1,1,0.6243865164836268
47.326565,-27.053034,27.05,1,2,0.4494781967068728
4.1019087,-21.230501,26.44,1,2,0.5672402199004168
-42.168407,-89.95307,28.27,1,2,0.8691288105451677
-79.020935,61.01331,28.47,1,1,0.5307550331655254
39.998665,21.982635,22.33,0,0,0.3019816234966972
